entityType,canonicalId,assetRole,batteryCount,v2x,layoutRecipe,imageRef,displayLabel,sortOrder,active,columnCount,ratioSpec,gapPx,align
layoutRecipe,panel-stack,,,,panel-stack,,Panel + Stack,10,true,2,38|62,28,center
layoutRecipe,panel-stack-v2x,,,,panel-stack-v2x,,Panel + Stack (V2X),20,true,2,35|65,28,center
layoutRecipe,panel-stack-stack,,,,panel-stack-stack,,Panel + Two Stacks,30,true,3,20|40|40,24,center
layoutRecipe,panel-stack-stack-stack,,,,panel-stack-stack-stack,,Panel + Three Stacks,40,true,4,16|28|28|28,20,center
coverAsset,default-ev,cover,,,,proposal-assets/covers/ev/ford-f150-lightning.png,Default EV Cover,100,true,,,,
coverAsset,rivian-r1s,cover,,,,proposal-assets/covers/ev/rivian-r1s.png,Rivian R1S,110,true,,,,
coverAsset,porsche-taycan,cover,,,,proposal-assets/covers/ev/porsche-taycan.png,Porsche Taycan,120,true,,,,
coverAsset,polestar-4,cover,,,,proposal-assets/covers/ev/polestar-4.png,Polestar 4,130,true,,,,
coverAsset,nissan-leaf,cover,,,,proposal-assets/covers/ev/nissan-leaf.png,Nissan Leaf,140,true,,,,
coverAsset,ford-mustang-mach-e,cover,,,,proposal-assets/covers/ev/ford-mustang-mach-e.png,Ford Mustang Mach-E,150,true,,,,
coverAsset,mercedes-benz-eqb-350,cover,,,,proposal-assets/covers/ev/mercedes-benz-eqb-350.png,Mercedes-Benz EQB 350,160,true,,,,
coverAsset,lucid-air-pure,cover,,,,proposal-assets/covers/ev/lucid-air-pure.png,Lucid Air Pure,170,true,,,,
coverAsset,kia-niro-ev,cover,,,,proposal-assets/covers/ev/kia-niro-ev.png,Kia Niro EV,180,true,,,,
coverAsset,kia-ev9,cover,,,,proposal-assets/covers/ev/kia-ev9.png,Kia EV9,190,true,,,,
coverAsset,kia-ev6,cover,,,,proposal-assets/covers/ev/kia-ev6.png,Kia EV6,200,true,,,,
coverAsset,fiat-500e,cover,,,,proposal-assets/covers/ev/fiat-500e.png,Fiat 500e,210,true,,,,
coverAsset,ford-f150-lightning,cover,,,,proposal-assets/covers/ev/ford-f150-lightning.png,Ford F-150 Lightning,220,true,,,,
coverAsset,dodge-charger-daytona,cover,,,,proposal-assets/covers/ev/dodge-charger-daytona.png,Dodge Charger Daytona,230,true,,,,
coverAsset,bmw-ix-xdrive40,cover,,,,proposal-assets/covers/ev/bmw-ix-xdrive40.png,BMW iX xDrive40,240,true,,,,
coverAsset,audi-a6-e-tron,cover,,,,proposal-assets/covers/ev/audi-a6-e-tron.png,Audi A6 e-tron,250,true,,,,
coverAsset,volvo-c40-recharge,cover,,,,proposal-assets/covers/ev/volvo-c40-recharge.png,Volvo C40 Recharge,260,true,,,,
coverAsset,volkswagen-id4,cover,,,,proposal-assets/covers/ev/volkswagen-id4.png,Volkswagen ID.4,270,true,,,,
coverAsset,tesla-model-y,cover,,,,proposal-assets/covers/ev/tesla-model-y.png,Tesla Model Y,280,true,,,,
coverAsset,tesla-model-s,cover,,,,proposal-assets/covers/ev/tesla-model-s.png,Tesla Model S,290,true,,,,
coverAsset,tesla-model-3,cover,,,,proposal-assets/covers/ev/tesla-model-3.png,Tesla Model 3,300,true,,,,
coverAsset,tesla-model-cybertruck,cover,,,,proposal-assets/covers/ev/tesla-model-cybertruck.png,Tesla Cybertruck,305,true,,,,
coverAsset,rivian-r1t,cover,,,,proposal-assets/covers/ev/rivian-r1t.png,Rivian R1T,310,true,,,,
coverAsset,volvo-ex40,cover,,,,proposal-assets/covers/ev/volvo-ex40.png,Volvo EX40,320,true,,,,
componentVisual,smart-panel,panel,,,,proposal-assets/components/smart-panel.png,Smart Panel,400,true,,,,
stackVisual,stack-1-no-v2x,stack,1,false,,proposal-assets/stacks/stack-1-no-v2x.png,1 Battery Stack,510,true,,,,
stackVisual,stack-1-v2x,stack,1,true,,proposal-assets/stacks/stack-1-v2x.png,1 Battery Stack + V2X,511,true,,,,
stackVisual,stack-2-no-v2x,stack,2,false,,proposal-assets/stacks/stack-2-no-v2x.png,2 Battery Stack,520,true,,,,
stackVisual,stack-2-v2x,stack,2,true,,proposal-assets/stacks/stack-2-v2x.png,2 Battery Stack + V2X,521,true,,,,
stackVisual,stack-3-no-v2x,stack,3,false,,proposal-assets/stacks/stack-3-no-v2x.png,3 Battery Stack,530,true,,,,
stackVisual,stack-3-v2x,stack,3,true,,proposal-assets/stacks/stack-3-v2x.png,3 Battery Stack + V2X,531,true,,,,
stackVisual,stack-4-no-v2x,stack,4,false,,proposal-assets/stacks/stack-4-no-v2x.png,4 Battery Stack,540,true,,,,
stackVisual,stack-4-v2x,stack,4,true,,proposal-assets/stacks/stack-4-v2x.png,4 Battery Stack + V2X,541,true,,,,
stackVisual,stack-5-no-v2x,stack,5,false,,proposal-assets/stacks/stack-5-no-v2x.png,5 Battery Stack,550,true,,,,
stackVisual,stack-5-v2x,stack,5,true,,proposal-assets/stacks/stack-5-v2x.png,5 Battery Stack + V2X,551,true,,,,
stackVisual,stack-6-no-v2x,stack,6,false,,proposal-assets/stacks/stack-6-no-v2x.png,6 Battery Stack,560,true,,,,
